address,fuel,name,Longitude,Latitude,Time
"1833-1867 Pennsylvania Ave NW, Washington, DC 20006, USA",34,EC6565,-77.04284,38.90004,5/18/2017 14:27
"1833-1867 Pennsylvania Ave NW, Washington, DC 20006, USA",34,EC6565,-77.04284,38.90004,5/18/2017 14:47
"2415-2499 Randolph St NE, Washington, DC 20018, USA",31,EC6565,-76.97133,38.93792,5/18/2017 15:58
"2415-2499 Randolph St NE, Washington, DC 20018, USA",31,EC6565,-76.97133,38.93792,5/19/2017 10:32
"3602 John McCormack Dr NE, Washington, DC 20017, USA",96,EC6565,-76.99572,38.93482,5/19/2017 11:42
"3602 John McCormack Dr NE, Washington, DC 20017, USA",96,EC6565,-76.99572,38.93482,5/19/2017 13:53
"1814-1816 13th St NW, Washington, DC 20009, USA",75,EC6566,-77.02968,38.91462,5/18/2017 13:36
"1814-1816 13th St NW, Washington, DC 20009, USA",75,EC6566,-77.02968,38.91462,5/18/2017 13:36
"1800-1808 Taylor St NW, Washington, DC 20011, USA",75,EC6566,-77.04158,38.94079,5/18/2017 13:57
"1800-1808 Taylor St NW, Washington, DC 20011, USA",75,EC6566,-77.04158,38.94079,5/18/2017 18:00
"2434-2496 9th St NW, Washington, DC 20001, USA",71,EC6566,-77.02436,38.92283,5/18/2017 18:25
"2434-2496 9th St NW, Washington, DC 20001, USA",71,EC6566,-77.02436,38.92283,5/18/2017 19:37
"3249-3299 17th St NW, Washington, DC 20010, USA",68,EC6566,-77.03887,38.93186,5/18/2017 19:57
"3249-3299 17th St NW, Washington, DC 20010, USA",68,EC6566,-77.03887,38.93186,5/18/2017 20:12
"22 Evarts St NE, Washington, DC 20002, USA",68,EC6566,-77.00793,38.92455,5/18/2017 20:43
"22 Evarts St NE, Washington, DC 20002, USA",68,EC6566,-77.00793,38.92455,5/19/2017 10:11
"512 3rd St NE, Washington, DC 20002, USA",65,EC6566,-77.0021,38.89655,5/19/2017 10:57
"512 3rd St NE, Washington, DC 20002, USA",65,EC6566,-77.0021,38.89655,5/19/2017 13:53
"4516-4698 Fort Dr NW, Washington, DC 20016, USA",93,EC6567,-77.07856,38.94922,5/18/2017 13:36
"4516-4698 Fort Dr NW, Washington, DC 20016, USA",93,EC6567,-77.07856,38.94922,5/18/2017 16:03
"409 Delafield Pl NW, Washington, DC 20011, USA",87,EC6567,-77.01789,38.94929,5/18/2017 16:33
